Afro-Asiatic|Arabic>Maghreb A.|Maltese|0.53e6|Malta|https://en.wikipedia.org/wiki/Maltese_language
Indo-European|Germanic>West Germanic>North Sea Germanic>Anglo-Frisian|English|63e6|UK,Ireland|https://en.wikipedia.org/wiki/English_language
Indo-European|Germanic>West Germanic>North Sea Germanic>Anglo-Frisian|East Frisian|2e3|Germany|https://en.wikipedia.org/wiki/East_Frisian_language
Indo-European|Germanic>West Germanic>North Sea Germanic>Anglo-Frisian|North Frisian|10e3|Germany|https://en.wikipedia.org/wiki/North_Frisian_language
Indo-European|Germanic>West Germanic>North Sea Germanic>Anglo-Frisian|West Frisian|0.47e6|Netherlands|https://en.wikipedia.org/wiki/West_Frisian_language
Indo-European|Germanic>West Germanic>North Sea Germanic>Anglo-Frisian|Scots|1.5e6|UK,Ireland|https://en.wikipedia.org/wiki/Scots_language
Indo-European|Germanic>West Germanic>North Sea Germanic|Low German|4.35e6|Germany,Netherlands,Denmark|https://en.wikipedia.org/wiki/Low_German
Indo-European|Hellenic>Greek>Ionic-Attic|Modern Greek|13.5e6|Greece,Albania,Cyprus,Italy|https://en.wikipedia.org/wiki/Modern_Greek
Indo-European|Hellenic>Greek>Ionic-Attic|Pontic Greek|0.2e6|Greece|https://en.wikipedia.org/wiki/Pontic_Greek
Indo-European|Hellenic>Greek>Ionic-Attic|Mariupolitan Greek|20e3|Ukraine|https://en.wikipedia.org/wiki/Mariupol_Greek
Indo-European|Hellenic>Greek>Ionic-Attic|Griko|20e3|Italy|https://en.wikipedia.org/wiki/Griko_language
Indo-European|Hellenic>Greek>Doric|Tsakonian|2e3|Greece|https://en.wikipedia.org/wiki/Tsakonian_language
Indo-European|Indo-Aryan>Western Indo-Aryan>Romani|Balkan R.|0.6e6|Bulgaria,Romania,Greece,Kosovo,North Macedonia,Slovenia,Serbia,Croatia,Bosnia and Herzegovina|https://en.wikipedia.org/wiki/Balkan_Romani
Indo-European|Indo-Aryan>Western Indo-Aryan>Romani|Baltic R.|46e3|Poland,Lithuania,Latvia,Estonia,Finland,Ukraine|https://en.wikipedia.org/wiki/Baltic_Romani
Indo-European|Indo-Aryan>Western Indo-Aryan>Romani|Carpathian R.|0.15e6|Poland,Czech Republic,Slovakia,Austria,Ukraine,Slovenia|https://en.wikipedia.org/wiki/Carpathian_Romani
Indo-European|Indo-Aryan>Western Indo-Aryan>Romani|Vlax R.|0.54e6|Bosnia,Romania,Serbia,Albania,Hungary|https://en.wikipedia.org/wiki/Vlax_Romani_language
Indo-European|Indo-Aryan>Western Indo-Aryan>Para-Romani|Sinte Romani|0.195e6|Germany,Austria,Switzerland,Czech Republic,Italy,France,Netherlands,Serbia,Croatia|https://en.wikipedia.org/wiki/Sinte_Romani
Indo-European|Indo-Aryan>Western Indo-Aryan>Para-Romani|Caló|60e3|Spain,Portugal,France|https://en.wikipedia.org/wiki/Cal%C3%B3_language
Indo-European|Indo-Aryan>Western Indo-Aryan>Para-Romani|Romano-Serbian|0.17e6|Serbia|https://en.wikipedia.org/wiki/Romano-Serbian_language
Indo-European|Paleo-Balkan>Albanian|Gheg|4.1e6|Albania,Kosovo,North Macedonia,Montenegro,Serbia|https://en.wikipedia.org/wiki/Gheg_Albanian
Indo-European|Paleo-Balkan>Albanian|Tosk|1.8e6|Albania,North Macedonia,Italy,Greece,Turkey|https://en.wikipedia.org/wiki/Tosk_Albanian
Indo-European|Romance>Eastern Romance|Romanian|24e6|Romania,Moldova|https://en.wikipedia.org/wiki/Romanian_language
Indo-European|Romance>Eastern Romance|Aromanian|0.21e6|Greece,Albania,North Macedonia,Bulgaria,Romania,Serbia|https://en.wikipedia.org/wiki/Aromanian_language
Indo-European|Romance>Island Romance|Sardinian|1.35e6|Italy|https://en.wikipedia.org/wiki/Sardinian_language
Indo-European|Romance>Western Romance>Oïl|French|81e6|France,Switzerland,Belgium|https://en.wikipedia.org/wiki/French_language
Indo-European|Romance>Western Romance>Oïl|Norman|21e3|France,Jersey,Guernsey,Sark|https://en.wikipedia.org/wiki/Norman_language
Indo-European|Romance>Western Romance>Oïl|Picard|0.7e6|France,Belgium|https://en.wikipedia.org/wiki/Picard_language
Indo-European|Romance>Western Romance>Oïl|Walloon|0.6e6|Belgium,France|https://en.wikipedia.org/wiki/Walloon_language
Indo-European|Romance>Western Romance|Franco-Provençal|0.16e6|Italy,France,Switzerland|https://en.wikipedia.org/wiki/Franco-Proven%C3%A7al
Indo-European|Romance>Western Romance>North Italian|Friulian|0.42e6|Italy|https://en.wikipedia.org/wiki/Friulian_language
Indo-European|Romance>Western Romance>North Italian|Emilian|9.3e6|Italy|https://en.wikipedia.org/wiki/Emilian_dialects
Indo-European|Romance>Western Romance>North Italian|Ligurian|0.6e6|Italy,Monaco,France|https://en.wikipedia.org/wiki/Ligurian_language
Indo-European|Romance>Western Romance>North Italian|Lombard|3.8e6|Italy,Switzerland|https://en.wikipedia.org/wiki/Lombard_language
Indo-European|Romance>Western Romance>North Italian|Piedmontese|2.0e6|Italy|https://en.wikipedia.org/wiki/Piedmontese_language
Indo-European|Romance>Western Romance>North Italian|Romagnol|1.1e6|Italy,San Marino|https://en.wikipedia.org/wiki/Romagnol_dialects
Indo-European|Romance>Western Romance>North Italian|Venetian|3.9e6|Italy,Slovenia,Croatia|https://en.wikipedia.org/wiki/Venetian_language
Indo-European|Romance>Western Romance>North Italian|Ladin|41e3|Italy|https://en.wikipedia.org/wiki/Ladin_language
Indo-European|Romance>Western Romance>North Italian|Romansh|40e3|Switzerland|https://en.wikipedia.org/wiki/Romansh_language
Indo-European|Romance>Western Romance>Ibero-Romance|Aragonese|12e3|Spain|https://en.wikipedia.org/wiki/Aragonese_language
Indo-European|Romance>Western Romance>Ibero-Romance|Asturleonese|0.3e6|Spain,Portugal|https://en.wikipedia.org/wiki/Asturleonese_language
Indo-European|Romance>Western Romance>Ibero-Romance|Galician|2.4e6|Spain|https://en.wikipedia.org/wiki/Galician_language
Indo-European|Romance>Western Romance>Ibero-Romance|Portuguese|10e6|Portugal|https://en.wikipedia.org/wiki/Portuguese_language
Indo-European|Romance>Western Romance>Ibero-Romance|Spanish|47e6|Spain|https://en.wikipedia.org/wiki/Spanish_language
Indo-European|Romance>Western Romance>Island Romance|Sardinian|1e6|Italy|https://en.wikipedia.org/wiki/Sardinian_language
Indo-European|Romance>Western Romance>Occitano-Romance|Catalan|4.1e6|Andorra,France,Italy,Spain|https://en.wikipedia.org/wiki/Catalan_language
Indo-European|Romance>Western Romance>Occitano-Romance|Occitan|0.45e6|France,Spain,Italy|https://en.wikipedia.org/wiki/Occitan_language
Indo-European|Romance>Western Romance>South Romance|Italian|65e6|Italy,San Marino,Vatican City,Switzerland,Slovenia,Croatia|https://en.wikipedia.org/wiki/Italian_language
Indo-European|Romance>Western Romance>South Romance|Neapolitan|5.7e6|Italy|https://en.wikipedia.org/wiki/Neapolitan_language
Indo-European|Romance>Western Romance>South Romance|Sassarese|0.1e6|Italy|https://en.wikipedia.org/wiki/Sassarese_language
Indo-European|Romance>Western Romance>South Romance|Sicilian|4.7e6|Italy|https://en.wikipedia.org/wiki/Sicilian_language
Indo-European|Romance>Western Romance>South Romance|Corsican|0.15e6|France,Italy|https://en.wikipedia.org/wiki/Corsican_language
Turkic|Common Turkic>Kipchak|Crimean Tatar|0.58e6|Ukraine,Romania,Bulgaria,Lithuania,Poland|https://en.wikipedia.org/wiki/Crimean_Tatar_language
Turkic|Common Turkic>Oghuz|Gagauz|149e3|Moldova,Ukraine|https://en.wikipedia.org/wiki/Gagauz_language
